Name,Decimal,Hexadecimal,Character,Code point,Description
sdot,8901,22C5,⋅,U+22C5,dot operator
vellip,8942,22EE,⋮,U+22EE,vertical ellipsis
lceil,8968,2308,⌈,U+2308,left ceiling 
rceil,8969,2309,⌉,U+2309,right ceiling
lfloor,8970,230A,⌊,U+230A,left floor 
rfloor,8971,230B,⌋,U+230B,right floor
lang,9001,2329,〈,U+2329,left-pointing angle bracket 
rang,9002,232A,〉,U+232A,right-pointing angle bracket 
loz,9674,25CA,◊,U+25CA,lozenge
spades,9824,2660,♠,U+2660,black spade suit
clubs,9827,2663,♣,U+2663,black club suit 
hearts,9829,2665,♥,U+2665,black heart suit 
diams,9830,2666,♦,U+2666,black diamond suit
